transcript_id	description
XM_031534703.1	" K(+) efflux antiporter 2, chloroplastic-like"
XM_031534704.1	" uncharacterized LOC116203045, transcript variant X1"
XM_031534705.1	" uncharacterized LOC116203045, transcript variant X2"
XM_031534706.1	" uncharacterized LOC116203045, transcript variant X3"
XM_031534707.1	" uncharacterized LOC116203045, transcript variant X4"
XM_031534708.1	" uncharacterized LOC116203045, transcript variant X5"
XM_031534709.1	" uncharacterized LOC116203045, transcript variant X6"
XM_031534710.1	 DEAD-box ATP-dependent RNA helicase 8-like
XM_031534711.1	 cytochrome P450 81C13-like
XM_031534712.1	" bifunctional protein FolD 4, chloroplastic"
XM_031534713.1	" pre-mRNA cleavage factor Im 25 kDa subunit 2, transcript variant X1"
XM_031534714.1	" pre-mRNA cleavage factor Im 25 kDa subunit 2, transcript variant X3"
XM_031534715.1	 LIM domain-containing protein PLIM2c-like
XM_031534716.1	 putative cyclin-D6-1
XM_031534717.1	 uncharacterized LOC116203052
XM_031534718.1	" glucan endo-1,3-beta-glucosidase 11-like"
XM_031534719.1	 BON1-associated protein 2-like
XM_031534720.1	 receptor protein kinase-like protein ZAR1
XM_031534721.1	 transcription factor bHLH30-like
XM_031534722.1	" transcription factor MYB41-like, transcript variant X1"
XM_031534723.1	" transcription factor MYB41-like, transcript variant X2"
XM_031534724.1	" glycerol-3-phosphate acyltransferase 1-like, transcript variant X1"
XM_031534725.1	" glycerol-3-phosphate acyltransferase 1-like, transcript variant X2"
XM_031534726.1	 uncharacterized LOC116203060
XM_031534727.1	 protein PLANT CADMIUM RESISTANCE 4-like
XM_031534728.1	 uncharacterized LOC116203062
XM_031534729.1	 CRIB domain-containing protein RIC10-like
XM_031534730.1	" uncharacterized LOC116203065, transcript variant X1"
XM_031534731.1	" uncharacterized LOC116203065, transcript variant X2"
XM_031534732.1	" uncharacterized LOC116203066, transcript variant X1"
XM_031534733.1	 uncharacterized LOC116203064
XM_031534734.1	" uncharacterized LOC116203066, transcript variant X2"
XM_031534735.1	 alcohol dehydrogenase-like 4
XM_031534736.1	 agamous-like MADS-box protein AGL62
XM_031534737.1	 probable membrane-associated kinase regulator 6
XM_031534738.1	 patellin-3-like
XM_031534739.1	 carboxymethylenebutenolidase homolog
XM_031534740.1	" uncharacterized LOC116203076, transcript variant X1"
XM_031534741.1	" uncharacterized LOC116203076, transcript variant X2"
XM_031534742.1	 uncharacterized LOC116203073
XM_031534743.1	 transcription factor bHLH126-like
XM_031534744.1	 uncharacterized LOC116203078
XM_031534745.1	 xanthohumol 4-O-methyltransferase-like
XM_031534746.1	 protein GLUTAMINE DUMPER 2-like
XM_031534747.1	 NDR1/HIN1-like protein 13
XM_031534748.1	 peroxidase 19
XM_031534749.1	 transcription factor MYB77-like
XM_031534750.1	 agamous-like MADS-box protein AGL23
XM_031534751.1	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
XM_031534752.1	" calcium uniporter protein 5, mitochondrial"
XM_031534753.1	" tRNA (guanine(9)-N1)-methyltransferase, transcript variant X1"
XM_031534754.1	" tRNA (guanine(9)-N1)-methyltransferase, transcript variant X2"
XM_031534755.1	" tRNA (guanine(9)-N1)-methyltransferase, transcript variant X3"
XM_031534756.1	 soluble inorganic pyrophosphatase 1
XM_031534757.1	 F-box protein SKIP23-like
XM_031534758.1	 uncharacterized LOC116203094
XM_031534759.1	 purine permease 1-like
XM_031534760.1	 uncharacterized LOC116203097
XM_031534761.1	 peroxidase 44-like
XM_031534762.1	" spindle and kinetochore-associated protein 1 homolog, transcript variant X1"
XM_031534763.1	" spindle and kinetochore-associated protein 1 homolog, transcript variant X2"
XM_031534764.1	 receptor-like protein kinase FERONIA
XM_031534765.1	 rRNA 2'-O-methyltransferase fibrillarin-like
XM_031534766.1	 glycine-rich protein-like
XM_031534767.1	 S-type anion channel SLAH4-like
XM_031534768.1	" pentatricopeptide repeat-containing protein At4g19890, transcript variant X1"
XM_031534769.1	 uncharacterized LOC116203103
XM_031534770.1	" light-mediated development protein DET1, transcript variant X1"
XM_031534771.1	" light-mediated development protein DET1, transcript variant X2"
XM_031534772.1	" ATP-dependent zinc metalloprotease FTSH 11, chloroplastic/mitochondrial"
XM_031534773.1	 abscisic acid receptor PYL8
XM_031534774.1	" myb-related protein 2-like, transcript variant X1"
XM_031534775.1	" myb-related protein 2-like, transcript variant X2"
XM_031534776.1	" histone-lysine N-methyltransferase ASHH1, transcript variant X1"
XM_031534777.1	" histone-lysine N-methyltransferase ASHH1, transcript variant X2"
XM_031534778.1	" histone-lysine N-methyltransferase ASHH1, transcript variant X3"
XM_031534779.1	 protein S-acyltransferase 8-like
XM_031534780.1	 uncharacterized LOC116203115
XM_031534781.1	 uncharacterized LOC116203116
XM_031534782.1	" calcium-transporting ATPase 12, plasma membrane-type-like"
XM_031534783.1	" pentatricopeptide repeat-containing protein At2g29760, chloroplastic-like"
XM_031534784.1	" chlorophyll a-b binding protein 151, chloroplastic"
XM_031534785.1	 dof zinc finger protein DOF3.5
XM_031534786.1	 probable carboxylesterase 17
XM_031534787.1	 BOI-related E3 ubiquitin-protein ligase 1-like
XM_031534788.1	 uncharacterized LOC116203126
XM_031534789.1	 triadin-like
XM_031534790.1	 1-aminocyclopropane-1-carboxylate oxidase 5
XM_031534791.1	 uncharacterized LOC116203131
XM_031534792.1	 uncharacterized LOC116203132
XM_031534793.1	" (-)-alpha-terpineol synthase-like, transcript variant X1"
XM_031534794.1	" (-)-alpha-terpineol synthase-like, transcript variant X2"
XM_031534795.1	 sugar carrier protein C
XM_031534796.1	 uncharacterized LOC116203134
XM_031534797.1	" pentatricopeptide repeat-containing protein At1g32415, mitochondrial, transcript variant X1"
XM_031534798.1	" pentatricopeptide repeat-containing protein At1g32415, mitochondrial, transcript variant X2"
XM_031534799.1	" transcription factor MAMYB, transcript variant X1"
XM_031534800.1	" transcription factor MAMYB, transcript variant X2"
XM_031534801.1	" vacuolar protein sorting-associated protein 55 homolog, transcript variant X1"
XM_031534802.1	" vacuolar protein sorting-associated protein 55 homolog, transcript variant X2"
XM_031534803.1	" vacuolar protein sorting-associated protein 55 homolog, transcript variant X3"
XM_031534804.1	 uncharacterized LOC116203139
XM_031534805.1	 uncharacterized LOC116203141
XM_031534806.1	 F-box/kelch-repeat protein SKIP25-like
XM_031534807.1	 probable WRKY transcription factor 12
XM_031534808.1	 vegetative cell wall protein gp1-like
XM_031534809.1	" uncharacterized LOC116203144, transcript variant X1"
XM_031534810.1	" uncharacterized LOC116203144, transcript variant X2"
XM_031534811.1	 non-classical arabinogalactan protein 30-like
XM_031534812.1	 transcriptional elongation regulator MINIYO
XM_031534813.1	 lysine histidine transporter-like 8
XM_031534814.1	" GDSL esterase/lipase At5g45670-like, transcript variant X1"
XM_031534815.1	" GDSL esterase/lipase At5g45670-like, transcript variant X2"
XM_031534816.1	 trans-resveratrol di-O-methyltransferase-like
XM_031534817.1	 uncharacterized LOC116203150
XM_031534818.1	 lignin-forming anionic peroxidase-like
XM_031534819.1	" basic blue protein-like, transcript variant X1"
XM_031534820.1	" basic blue protein-like, transcript variant X2"
XM_031534821.1	 2-alkenal reductase (NADP(+)-dependent)-like
XM_031534822.1	 2-alkenal reductase (NADP(+)-dependent)-like
XM_031534823.1	 UDP-glycosyltransferase 88B1-like
XM_031534824.1	 UDP-glycosyltransferase 88B1-like
XM_031534825.1	 UDP-glycosyltransferase 88B1-like
XM_031534826.1	 UDP-glycosyltransferase 73C6-like
XM_031534827.1	 peroxidase 5-like
XM_031534828.1	" heavy metal-associated isoprenylated plant protein 31, transcript variant X1"
XM_031534829.1	" heavy metal-associated isoprenylated plant protein 31, transcript variant X2"
XM_031534830.1	" heavy metal-associated isoprenylated plant protein 31, transcript variant X3"
XM_031534831.1	 senescence-specific cysteine protease SAG39-like
XM_031534832.1	" heparan-alpha-glucosaminide N-acetyltransferase-like, transcript variant X1"
XM_031534833.1	" heparan-alpha-glucosaminide N-acetyltransferase-like, transcript variant X2"
XM_031534834.1	 probable serine/threonine-protein kinase CST
XM_031534835.1	 probable LRR receptor-like serine/threonine-protein kinase At3g47570
XM_031534836.1	 basic form of pathogenesis-related protein 1-like
XM_031534837.1	 uncharacterized LOC116203170
XM_031534838.1	 probable LRR receptor-like serine/threonine-protein kinase At3g47570
XM_031534839.1	 E3 ubiquitin-protein ligase ATL4
XM_031534840.1	 leucine-rich repeat extensin-like protein 3
XM_031534841.1	 cysteine proteinase RD21A-like
XM_031534842.1	 uncharacterized mitochondrial protein AtMg00820-like
XM_031534843.1	 disease resistance protein RPM1-like
XM_031534844.1	 protein SENSITIVE TO UV 2
XM_031534845.1	 transcription factor LAF1-like
XM_031534846.1	 myosin-17-like
XM_031534847.1	 WAT1-related protein At1g43650
XM_031534848.1	 lignin-forming anionic peroxidase-like
XM_031534849.1	" uncharacterized LOC116203185, transcript variant X1"
XM_031534850.1	 lignin-forming anionic peroxidase-like
XM_031534851.1	 dehydration-responsive element-binding protein 1E-like
XM_031534852.1	 probable disease resistance protein At4g27220
XM_031534853.1	" G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1, transcript variant X1"
XM_031534854.1	" protein LHY, transcript variant X10"
XM_031534855.1	 abscisic acid receptor PYL4-like
XM_031534856.1	" G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1, transcript variant X2"
XM_031534857.1	" G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1, transcript variant X3"
XM_031534858.1	" G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1, transcript variant X4"
XM_031534859.1	" G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1, transcript variant X5"
XM_031534861.1	 secoisolariciresinol dehydrogenase-like
XM_031534862.1	" purine permease 3-like, transcript variant X1"
XM_031534863.1	" purine permease 3-like, transcript variant X2"
XM_031534864.1	 cold-responsive protein kinase 1-like
XM_031534865.1	 monoacylglycerol lipase ABHD6
XM_031534866.1	" ubiquinol oxidase 2, mitochondrial-like"
XM_031534867.1	 potassium transporter 19-like
XM_031534868.1	 uncharacterized LOC116203203
XM_031534869.1	 beta-bisabolene synthase-like
XM_031534870.1	" alpha-terpineol synthase, chloroplastic-like"
XM_031534871.1	 disease resistance protein RFL1-like
XM_031534872.1	" transcription factor bHLH113, transcript variant X1"
XM_031534873.1	" transcription factor bHLH113, transcript variant X2"
XM_031534874.1	" inositol 1,3,4-trisphosphate 5/6-kinase 4, transcript variant X1"
XM_031534875.1	" inositol 1,3,4-trisphosphate 5/6-kinase 4, transcript variant X2"
XM_031534876.1	" inositol 1,3,4-trisphosphate 5/6-kinase 4, transcript variant X3"
XM_031534877.1	" outer envelope pore protein 37, chloroplastic"
XM_031534878.1	" probable uridine nucleosidase 2, transcript variant X1"
XM_031534879.1	" probable uridine nucleosidase 2, transcript variant X2"
XM_031534880.1	 uncharacterized LOC116203209
XM_031534881.1	 probable thiol methyltransferase 2
XM_031534882.1	 uncharacterized LOC116203213
XM_031534883.1	" probable purine permease 4, transcript variant X1"
XM_031534884.1	" probable purine permease 4, transcript variant X2"
XM_031534885.1	 probable protein phosphatase 2C 75
XM_031534886.1	 probable F-box protein At4g22030
XM_031534887.1	 phosphatidylinositol/phosphatidylcholine transfer protein SFH11
XM_031534888.1	 protein ALP1-like
XM_031534889.1	" receptor-like protein kinase 7, transcript variant X1"
XM_031534890.1	" receptor-like protein kinase 7, transcript variant X2"
XM_031534891.1	 uncharacterized LOC116203218
XM_031534892.1	" LL-diaminopimelate aminotransferase, chloroplastic"
XM_031534893.1	" pentatricopeptide repeat-containing protein At3g18110, chloroplastic"
XM_031534894.1	" VAN3-binding protein-like, transcript variant X1"
XM_031534895.1	" VAN3-binding protein-like, transcript variant X2"
XM_031534896.1	" VAN3-binding protein-like, transcript variant X3"
XM_031534897.1	" VAN3-binding protein-like, transcript variant X4"
XM_031534898.1	" VAN3-binding protein-like, transcript variant X5"
XM_031534899.1	" superoxide dismutase [Fe], chloroplastic, transcript variant X1"
XM_031534900.1	" superoxide dismutase [Fe], chloroplastic, transcript variant X2"
XM_031534901.1	" superoxide dismutase [Fe], chloroplastic, transcript variant X3"
XM_031534902.1	" probable pterin-4-alpha-carbinolamine dehydratase, chloroplastic"
XM_031534903.1	 late embryogenesis abundant protein At5g17165-like
XM_031534905.1	 probable membrane-associated kinase regulator 5
XM_031534906.1	 fasciclin-like arabinogalactan protein 19
XM_031534907.1	 protein MAIN-LIKE 2-like
XM_031534908.1	" serine/threonine-protein phosphatase 5, transcript variant X1"
XM_031534909.1	" serine/threonine-protein phosphatase 5, transcript variant X2"
XM_031534910.1	" serine/threonine-protein phosphatase 5, transcript variant X3"
XM_031534911.1	" serine/threonine-protein phosphatase 5, transcript variant X4"
XM_031534912.1	 G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130
XM_031534913.1	 uncharacterized LOC116203235
XM_031534914.1	 transcription factor HHO6
XM_031534915.1	 la-related protein 6C
XM_031534916.1	 putative F-box protein At3g17480
XM_031534917.1	" uncharacterized LOC116203240, transcript variant X1"
XM_031534918.1	" uncharacterized LOC116203240, transcript variant X2"
XM_031534919.1	 PHD finger protein MALE MEIOCYTE DEATH 1
XM_031534920.1	" MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2, transcript variant X1"
XM_031534921.1	" MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2, transcript variant X2"
XM_031534922.1	 ethylene-responsive transcription factor ERF022-like
XM_031534923.1	 uncharacterized LOC116203246
XM_031534924.1	" general negative regulator of transcription subunit 3-like, transcript variant X3"
XM_031534925.1	 E3 ubiquitin-protein ligase RNF12-like
XM_031534926.1	 uncharacterized LOC116203251
XM_031534927.1	 leucine-rich repeat extensin-like protein 3
XM_031534928.1	 protein DETOXIFICATION 49
XM_031534929.1	 uncharacterized LOC116203255
XM_031534930.1	 uncharacterized LOC116203252
XM_031534931.1	 2-alkenal reductase (NADP(+)-dependent)-like
XM_031534932.1	 uncharacterized LOC116203257
XM_031534933.1	 PTI1-like tyrosine-protein kinase At3g15890
XM_031534934.1	 heterogeneous nuclear ribonucleoprotein U-like protein 1
XM_031534935.1	" WEB family protein At1g12150, transcript variant X1"
XM_031534936.1	" WEB family protein At1g12150, transcript variant X2"
XM_031534937.1	 developmental protein SEPALLATA 2-like
XM_031534938.1	 non-specific lipid-transfer protein 2-like
XM_031534939.1	 uncharacterized LOC116203263
XM_031534940.1	 uncharacterized oxidoreductase At4g09670-like
XM_031534941.1	 protein trichome birefringence-like 19
XM_031534942.1	 pentatricopeptide repeat-containing protein At2g15980
XM_031534943.1	 acetylserotonin O-methyltransferase-like
XM_031534944.1	" cytochrome c biogenesis protein CCS1, chloroplastic, transcript variant X1"
XM_031534945.1	" cytochrome c biogenesis protein CCS1, chloroplastic, transcript variant X2"
XM_031534946.1	" 4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic"
XM_031534947.1	" transcription termination factor MTEF1, chloroplastic"
XM_031534948.1	 uncharacterized LOC116203272
XM_031534950.1	 egg cell-secreted protein 1.1-like
XM_031534951.1	 protein DETOXIFICATION 35
XM_031534952.1	 abscisic stress-ripening protein 5-like
XM_031534953.1	" separase, transcript variant X1"
XM_031534954.1	" separase, transcript variant X2"
XM_031534955.1	" separase, transcript variant X3"
XM_031534957.1	 protein phosphatase 1 regulatory subunit INH3
XM_031534958.1	 transcription factor SPEECHLESS
XM_031534959.1	 uncharacterized LOC116203281
XM_031534960.1	 meiotic recombination protein SPO11-2
XM_031534961.1	 protein P21-like
XM_031534962.1	 nuclear pore complex protein NUP98A-like
XM_031534963.1	 uncharacterized protein At1g28695-like
XM_031534964.1	 S-type anion channel SLAH4-like
XM_031534965.1	 protein CASPARIAN STRIP INTEGRITY FACTOR 2
XM_031534966.1	 ABC transporter G family member 10-like
XM_031534967.1	" uncharacterized LOC116203292, transcript variant X1"
XM_031534968.1	" uncharacterized LOC116203292, transcript variant X2"
XM_031534969.1	 TMV resistance protein N-like
XM_031534970.1	" uncharacterized protein At4g10930, transcript variant X1"
XM_031534971.1	" uncharacterized protein At4g10930, transcript variant X2"
XM_031534972.1	" SUN domain-containing protein 5-like, transcript variant X1"
XM_031534973.1	" SUN domain-containing protein 5-like, transcript variant X2"
XM_031534974.1	" protein ENHANCED DOWNY MILDEW 2-like, transcript variant X1"
XM_031534975.1	" protein ENHANCED DOWNY MILDEW 2-like, transcript variant X2"
XM_031534976.1	" protein ENHANCED DOWNY MILDEW 2-like, transcript variant X3"
XM_031534977.1	" protein ENHANCED DOWNY MILDEW 2-like, transcript variant X4"
XM_031534978.1	" protein ENHANCED DOWNY MILDEW 2-like, transcript variant X5"
XM_031534979.1	" TBC1 domain family member 2B, transcript variant X1"
XM_031534980.1	" TBC1 domain family member 2B, transcript variant X2"
XM_031534981.1	 transcription factor MYB101
XM_031534982.1	 UDP-glycosyltransferase 88F5-like
XM_031534983.1	 gibberellin 20 oxidase 1-B-like
XM_031534984.1	 fe(2+) transport protein 1-like
XM_031534985.1	 protein EXORDIUM-like 3
XM_031534986.1	" AT-hook motif nuclear-localized protein 6-like, transcript variant X1"
XM_031534987.1	" AT-hook motif nuclear-localized protein 6-like, transcript variant X2"
XM_031534988.1	 probable rRNA-processing protein EBP2 homolog
XM_031534989.1	" protein LOW PSII ACCUMULATION 2, chloroplastic"
XM_031534990.1	" ELMO domain-containing protein A, transcript variant X1"
XM_031534991.1	" ELMO domain-containing protein A, transcript variant X2"
XM_031534992.1	" ELMO domain-containing protein A, transcript variant X3"
XM_031534993.1	" ELMO domain-containing protein A, transcript variant X4"
XM_031534994.1	" ELMO domain-containing protein A, transcript variant X5"
XM_031534995.1	 probable indole-3-pyruvate monooxygenase YUCCA11
XM_031534996.1	" hydroxymethylglutaryl-CoA lyase, mitochondrial-like, transcript variant X1"
XM_031534997.1	" hydroxymethylglutaryl-CoA lyase, mitochondrial-like, transcript variant X2"
XM_031534998.1	" hydroxymethylglutaryl-CoA lyase, mitochondrial-like, transcript variant X3"
XM_031534999.1	 geraniol 8-hydroxylase-like
XM_031535000.1	 callose synthase 12-like
XM_031535001.1	" uncharacterized LOC116203314, transcript variant X1"
XM_031535002.1	" uncharacterized LOC116203314, transcript variant X2"
XM_031535003.1	" uncharacterized LOC116203314, transcript variant X3"
XM_031535004.1	 uncharacterized LOC116203312
XM_031535005.1	 MRN complex-interacting protein
XM_031535006.1	 uncharacterized LOC116203316
XM_031535007.1	" protein translocase subunit SECA1, chloroplastic"
XM_031535008.1	 protein S-acyltransferase 18
XM_031535009.1	" uncharacterized LOC116203319, transcript variant X1"
XM_031535010.1	" uncharacterized LOC116203319, transcript variant X2"
XM_031535011.1	 PSME3-interacting protein
XM_031535012.1	" B3 domain-containing transcription factor VRN1-like, transcript variant X1"
XM_031535013.1	" B3 domain-containing transcription factor VRN1-like, transcript variant X2"
XM_031535014.1	 uncharacterized LOC116203323
XM_031535015.1	" rhodanese-like domain-containing protein 4, chloroplastic"
XM_031535016.1	 oligopeptide transporter 1-like
XM_031535017.1	 chitinase domain-containing protein 1
XM_031535018.1	 protein SRG1-like
XM_031535019.1	 non-specific lipid-transfer protein 2-like
XM_031535020.1	 uncharacterized mitochondrial protein AtMg00300-like
XM_031535021.1	" phospholipase A(1) DAD1, chloroplastic-like"
XM_031535022.1	 cyclic nucleotide-gated ion channel 1
XM_031535023.1	 spermine synthase
XM_031535024.1	" inactive glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic"
XM_031535025.1	 putative disease resistance protein At1g50180
XM_031535026.1	 uncharacterized LOC116203335
XM_031535027.1	 gibberellin 20 oxidase 2-like
XM_031535028.1	 extra-large guanine nucleotide-binding protein 3
XM_031535029.1	 26S proteasome non-ATPase regulatory subunit 13 homolog B-like
XM_031535030.1	 COP1-interactive protein 1-like
XM_031535031.1	" laccase-14-like, transcript variant X1"
XM_031535032.1	 uncharacterized LOC116203344
XM_031535033.1	 major strawberry allergen Fra a 1.06-like
XM_031535034.1	 proteasome subunit beta type-7-B-like
XM_031535035.1	 uncharacterized LOC116203346
XM_031535036.1	 uncharacterized LOC116203347
XM_031535037.1	" phospholipase A(1) DAD1, chloroplastic-like"
XM_031535038.1	 disease resistance response protein 206-like
XM_031535039.1	 late embryogenesis abundant protein At1g64065-like
XM_031535040.1	" phospholipase A I, transcript variant X1"
XM_031535041.1	" phospholipase A I, transcript variant X2"
XM_031535042.1	 uncharacterized LOC116203353
XM_031535043.1	" pentatricopeptide repeat-containing protein At5g46580, chloroplastic"
XM_031535044.1	" protein ABCI7, chloroplastic"
XM_031535045.1	" DAR GTPase 2, mitochondrial-like, transcript variant X1"
XM_031535046.1	 probable beta-D-xylosidase 5
XM_031535047.1	" mannan endo-1,4-beta-mannosidase 5-like"
XM_031535048.1	 receptor-like protein Cf-9 homolog
XM_031535049.1	 probable F-box protein At4g22030
XM_031535050.1	 F-box/LRR-repeat protein At3g58900-like
XM_031535051.1	" serpin-ZX-like, transcript variant X1"
XM_031535052.1	" serpin-ZX-like, transcript variant X2"
XM_031535053.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X1"
XM_031535054.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X2"
XM_031535055.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X3"
XM_031535056.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X4"
XM_031535057.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X5"
XM_031535058.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X6"
XM_031535059.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X7"
XM_031535060.1	" polyribonucleotide nucleotidyltransferase 2, mitochondrial-like, transcript variant X8"
XM_031535061.1	" digalactosyldiacylglycerol synthase 2, chloroplastic-like"
XM_031535062.1	 putative F-box/FBD/LRR-repeat protein At4g03220
XM_031535063.1	 probable carboxylesterase 9
XM_031535064.1	 uncharacterized LOC116203369
XM_031535065.1	 uncharacterized LOC116203366
XM_031535066.1	" DExH-box ATP-dependent RNA helicase DExH6, transcript variant X1"
XM_031535067.1	 uncharacterized LOC116203371
XM_031535068.1	 cyclin-J18
XM_031535069.1	" protein ALTERED PHOSPHATE STARVATION RESPONSE 1, transcript variant X1"
XM_031535070.1	" protein ALTERED PHOSPHATE STARVATION RESPONSE 1, transcript variant X3"
XM_031535071.1	 derlin-2.2
XM_031535072.1	" tobamovirus multiplication protein 1, transcript variant X1"
XM_031535073.1	" tobamovirus multiplication protein 1, transcript variant X2"
XM_031535074.1	 glutamate receptor 2.9-like
XM_031535075.1	" DExH-box ATP-dependent RNA helicase DExH7, chloroplastic"
XM_031535076.1	" nifU-like protein 2, chloroplastic, transcript variant X1"
XM_031535077.1	" nifU-like protein 2, chloroplastic, transcript variant X2"
XM_031535078.1	" nifU-like protein 2, chloroplastic, transcript variant X3"
XM_031535079.1	" nifU-like protein 2, chloroplastic, transcript variant X4"
XM_031535080.1	 LRR receptor-like serine/threonine-protein kinase RPK2
XM_031535081.1	 cathepsin B-like protease 2
XM_031535082.1	 regulator of nonsense transcripts 1 homolog
XM_031535083.1	 protein N-lysine methyltransferase METTL21A-like
XM_031535084.1	 uncharacterized LOC116203388
XM_031535085.1	 uncharacterized LOC116203389
XM_031535086.1	 uncharacterized LOC116203390
XM_031535087.1	 adenylate isopentenyltransferase-like
XM_031535088.1	" prolycopene isomerase, chloroplastic"
XM_031535089.1	 regulator of nonsense transcripts UPF3-like
XM_031535090.1	" uncharacterized LOC116203395, transcript variant X1"
XM_031535091.1	" uncharacterized LOC116203395, transcript variant X2"
XM_031535092.1	 lysine-rich arabinogalactan protein 19-like
XM_031535093.1	 transcription factor ABORTED MICROSPORES
XM_031535094.1	" WD repeat-containing protein 26 homolog, transcript variant X1"
XM_031535095.1	" WD repeat-containing protein 26 homolog, transcript variant X2"
XM_031535096.1	" WD repeat-containing protein 26 homolog, transcript variant X3"
XM_031535097.1	" putative oxygen-evolving enhancer protein 2-2, transcript variant X1"
XM_031535098.1	" putative oxygen-evolving enhancer protein 2-2, transcript variant X2"
XM_031535099.1	" putative oxygen-evolving enhancer protein 2-2, transcript variant X3"
XM_031535100.1	" putative oxygen-evolving enhancer protein 2-2, transcript variant X4"
XM_031535101.1	" uncharacterized LOC116203400, transcript variant X1"
XM_031535102.1	" uncharacterized LOC116203400, transcript variant X2"
XM_031535103.1	 myb family transcription factor PHL7-like
XM_031535104.1	 glycine-rich cell wall structural protein-like
XM_031535105.1	" threonine--tRNA ligase, chloroplastic/mitochondrial 2"
XM_031535106.1	 exopolygalacturonase-like
XM_031535107.1	 exopolygalacturonase-like
XM_031535108.1	 rho GDP-dissociation inhibitor 1
XM_031535109.1	 protein bangles and beads-like
XM_031535110.1	" F-box protein CPR1-like, transcript variant X1"
XM_031535111.1	" F-box protein CPR1-like, transcript variant X3"
XM_031535112.1	 putative dual specificity protein phosphatase DSP8
XM_031535113.1	 palmitoyl-protein thioesterase 1-like
XM_031535114.1	 uncharacterized LOC116203409
XM_031535115.1	" small G protein signaling modulator 1-like, transcript variant X1"
XM_031535116.1	" small G protein signaling modulator 1-like, transcript variant X2"
XM_031535117.1	 uncharacterized LOC116203413
XM_031535118.1	 protein IQ-DOMAIN 14
XM_031535119.1	 RHOMBOID-like protein 2
XM_031535120.1	 glycosyltransferase BC10-like
XM_031535121.1	" nucleolar complex protein 4 homolog, transcript variant X1"
XM_031535122.1	" nucleolar complex protein 4 homolog, transcript variant X2"
XM_031535123.1	" nucleolar complex protein 4 homolog, transcript variant X3"
XM_031535124.1	 probable protein phosphatase 2C 27
XM_031535125.1	" K(+) efflux antiporter 3, chloroplastic, transcript variant X1"
XM_031535126.1	 cell wall / vacuolar inhibitor of fructosidase 1-like
XM_031535127.1	" K(+) efflux antiporter 3, chloroplastic, transcript variant X2"
XM_031535128.1	" K(+) efflux antiporter 3, chloroplastic, transcript variant X3"
XM_031535129.1	" K(+) efflux antiporter 3, chloroplastic, transcript variant X4"
XM_031535130.1	" probable sphingolipid transporter spinster homolog 2, transcript variant X1"
XM_031535131.1	" probable sphingolipid transporter spinster homolog 2, transcript variant X2"
XM_031535132.1	" probable sphingolipid transporter spinster homolog 2, transcript variant X3"
XM_031535133.1	" probable sphingolipid transporter spinster homolog 2, transcript variant X4"
XM_031535134.1	" NAC domain-containing protein 90-like, transcript variant X1"
XM_031535135.1	" NAC domain-containing protein 90-like, transcript variant X2"
XM_031535136.1	" NAC domain-containing protein 90-like, transcript variant X3"
XM_031535137.1	" NAC domain-containing protein 90-like, transcript variant X4"
XM_031535138.1	" uncharacterized LOC116203424, transcript variant X1"
XM_031535139.1	" uncharacterized LOC116203424, transcript variant X2"
XM_031535140.1	 H/ACA ribonucleoprotein complex non-core subunit NAF1-like
XM_031535141.1	" NAC domain-containing protein 66-like, transcript variant X1"
XM_031535142.1	" NAC domain-containing protein 66-like, transcript variant X2"
XM_031535143.1	" GDP-mannose transporter GONST3, transcript variant X1"
XM_031535144.1	" GDP-mannose transporter GONST3, transcript variant X2"
XM_031535145.1	" GDP-mannose transporter GONST3, transcript variant X3"
XM_031535146.1	" GDP-mannose transporter GONST3, transcript variant X4"
XM_031535147.1	" phosphoglycerate mutase-like protein 1, transcript variant X1"
XM_031535148.1	" phosphoglycerate mutase-like protein 1, transcript variant X2"
XM_031535149.1	" peptide methionine sulfoxide reductase B3, chloroplastic-like, transcript variant X1"
XM_031535150.1	" peptide methionine sulfoxide reductase B3, chloroplastic-like, transcript variant X2"
XM_031535151.1	" peptide methionine sulfoxide reductase B3, chloroplastic-like, transcript variant X3"
